region,soil_type,temperature,rainfall,seed_variety,fertilizer_amount,pesticide_use,farmer_experience,land_size,planting_date,previous_crop,irrigation,yield
Southern,clay,19.1,905.5,hybrid,133.1,1,22,4.03,early,soybean,1,4.08
Central,clay,25.3,607.8,hybrid,102.8,0,1,3.8,late,groundnuts,1,2.87
Southern,loam,23.7,907.2,hybrid,86.8,0,18,1.02,late,none,1,3.89
Southern,clay,31.8,832.0,OPV,225.0,0,6,4.01,normal,none,0,4.0
Central,sandy,19.6,1023.9,OPV,5.5,1,27,4.03,early,soybean,1,1.47
Central,sandy,23.6,485.6,hybrid,165.9,1,2,3.2,normal,none,0,4.26
Southern,sandy,31.6,1008.8,local,240.8,1,15,4.96,normal,none,1,4.48
Northern,loam,30.1,833.0,OPV,140.0,1,29,1.96,late,none,1,4.22
Southern,clay,29.4,1170.4,local,234.2,0,26,4.74,early,groundnuts,0,4.37
Southern,sandy,21.6,673.5,OPV,13.1,1,21,4.62,early,none,1,1.95
Southern,loam,20.4,906.1,hybrid,104.7,0,14,0.55,early,maize,0,4.54
Southern,clay,27.4,1145.6,OPV,65.0,0,5,2.53,early,groundnuts,0,3.12
Central,loam,31.0,482.0,hybrid,182.7,1,6,4.9,normal,none,1,4.94
Southern,sandy,25.8,1149.8,OPV,245.3,1,6,0.96,normal,none,1,4.63
Northern,sandy,26.0,950.3,hybrid,64.1,1,30,2.97,late,maize,1,3.24
Central,sandy,21.9,454.3,hybrid,163.5,1,22,4.91,normal,groundnuts,1,3.82
Northern,loam,28.8,640.8,hybrid,49.5,1,30,3.0,normal,soybean,0,3.72
Northern,loam,20.6,966.5,hybrid,141.3,0,18,1.35,late,soybean,0,4.31
Northern,sandy,22.5,453.9,local,116.0,1,14,3.12,late,groundnuts,1,2.55
Northern,loam,24.0,865.7,hybrid,243.0,1,10,1.42,late,none,0,5.11
Central,sandy,25.1,676.7,local,152.1,1,14,2.84,normal,none,0,3.02
Central,sandy,21.4,896.7,local,87.4,0,13,0.83,normal,soybean,1,2.51
Northern,clay,19.6,436.6,hybrid,28.5,1,30,3.22,late,soybean,0,2.95
